"year","popdens_bt_gt"
1960,288
1961,437
1962,320
1963,371
1964,430
1965,423
1966,450
1967,403
1968,364
1969,408
1970,367
1971,453
1972,382
1973,478
1974,526
1975,566
1976,405
1977,711
1978,552
1979,455
1980,535
1981,647
1982,466
1983,583
1984,466
1985,531
1986,491
1987,516
1988,667
1989,568
1990,630
1991,371
1992,530
1993,597
1994,633
1995,646
1996,736
1997,658
1998,666
1999,611
2000,582
2001,736
2002,721
2003,861
2004,693
2005,849
2006,740
2007,831
2008,827
2009,700
2010,846
2011,910
2012,862
2013,584
2014,739
2015,633
2016,688
2017,631
2018,642
2019,833
2020,860
2021,804
2022,784
2023,735
2024,896
2025,707
