"id","dam","sire"
"TW41730",NA,NA
"PF72902",NA,NA
"TW41767",NA,NA
"VR27951",NA,NA
"BA02133",NA,NA
"NA21505",NA,NA
"A003808",NA,NA
"KR81470",NA,NA
"KR83093",NA,NA
"KJ73124",NA,NA
"A007862",NA,NA
"C695199",NA,NA
"B067853",NA,NA
"A007877",NA,NA
"N200811",NA,NA
"B068597",NA,NA
"19881C150_DAM",NA,NA
"F938316",NA,NA
"F938401",NA,NA
"TY68253",NA,NA
"TW41875",NA,NA
"TS46391",NA,NA
"TE80990",NA,NA
"TW41858",NA,NA
"Y839893",NA,NA
"TY69558",NA,NA
"TW77052",NA,NA
"TY70131",NA,NA
"VZ29522",NA,NA
"VZ33953",NA,NA
"VZ33954",NA,NA
"TY70095",NA,NA
"TY69501",NA,NA
"TW77003",NA,NA
"VZ32698",NA,NA
"VZ30775",NA,NA
"TY68013",NA,NA
"TE80994",NA,NA
"TR43323",NA,NA
"TY68506",NA,NA
"VZ30598",NA,NA
"VZ30524",NA,NA
"VS84212",NA,NA
"TE80998",NA,NA
"TY68002",NA,NA
"TY69001",NA,NA
"TY70705",NA,NA
"TY70025",NA,NA
"TY70021",NA,NA
"TV44478",NA,NA
"VS84264",NA,NA
"TV44769",NA,NA
"20181CP21_DAM",NA,NA
"TS47630",NA,NA
"D472301",NA,NA
"N199518",NA,NA
"20051B222_DAM",NA,NA
"P812097",NA,NA
"P439186",NA,NA
"T550041",NA,NA
"R639015",NA,NA
"T176429",NA,NA
"F952941",NA,NA
"R040187",NA,NA
"T550054",NA,NA
"A225408",NA,NA
"P439161",NA,NA
"N199109",NA,NA
"T550035",NA,NA
"A225396",NA,NA
"T550082",NA,NA
"T550036",NA,NA
"H300048",NA,NA
"20041C130_DAM",NA,NA
"N199233",NA,NA
"H300011",NA,NA
"F873557",NA,NA
"J745188",NA,NA
"F952684",NA,NA
"19951CH9_DAM",NA,NA
"F937897",NA,NA
"H301134",NA,NA
"F464578",NA,NA
"19931W68_DAM",NA,NA
"H301131",NA,NA
"F938335",NA,NA
"H301127",NA,NA
"F952874",NA,NA
"VH21172",NA,NA
"H300561",NA,NA
"H300559",NA,NA
"H303474",NA,NA
"H300558",NA,NA
"19931W84_DAM",NA,NA
"H301104",NA,NA
"H300546",NA,NA
"19931MP58_DAM",NA,NA
"F938386",NA,NA
"F938370",NA,NA
"VH21113",NA,NA
"F874754",NA,NA
"KR81672",NA,NA
"F938402",NA,NA
"F938363",NA,NA
"F938315",NA,NA
"F938374",NA,NA
"F938384",NA,NA
"H303455",NA,NA
"H300544",NA,NA
"H300549",NA,NA
"H300547",NA,NA
"H300532",NA,NA
"H303421",NA,NA
"F952724",NA,NA
"F952900",NA,NA
"E066379",NA,NA
"F465935",NA,NA
"F937893",NA,NA
"F937863",NA,NA
"E956216",NA,NA
"19931CP14_DAM",NA,NA
"F952692",NA,NA
"H300536",NA,NA
"F952719",NA,NA
"H303492",NA,NA
"H303462",NA,NA
"H303460",NA,NA
"H300526",NA,NA
"H300537",NA,NA
"H300525",NA,NA
"F952689",NA,NA
"F938301",NA,NA
"F938351",NA,NA
"F938371",NA,NA
"H302097",NA,NA
"F938372",NA,NA
"F952649",NA,NA
"19931SW1_DAM",NA,NA
"H301515",NA,NA
"H300521",NA,NA
"H300523",NA,NA
"H300541",NA,NA
"H300511",NA,NA
"H300513",NA,NA
"F833132",NA,NA
"H300391",NA,NA
"H300514",NA,NA
